Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
A ce monde que tu fais	A ce monde que tu fais	1. À ce monde que Tu fais chaque jour avec tendresse * Donne un cœur de chair, donne un cœur nouveau * À ce monde où Tu voudrais plus de joie, moins de détresse * Donne un cœur de chair, donne un cœur nouveau * À ce monde qui renaît s'il a foi en Ta promesse * Donne un cœur de chair, donne un cœur nouveau *	R/ Viennent les cieux nouveaux et la nouvelle terre Que Ta bonté nous donnera Viennent les cieux nouveaux et la nouvelle terre Où la justice habitera		2. Sur les hommes qu'il t'a plu de créer à ton image * Envoie ton Esprit, un Esprit nouveau * Sur les hommes que l'on tue pour leur peau ou leur visage * Envoie ton Esprit, un Esprit nouveau * Sur les hommes qui n'ont plus qu'à se taire sous l'outrage * Envoie ton Esprit, un Esprit nouveau *				
À l'image de ton amour	À l'image de ton amour	"1. Seigneur Jésus, Tu nous as dit : ""Je vous laisse un commandement nouveau : Mes amis, aimez-vous les uns les autres. Écoutez mes paroles et vous vivrez"".  2. Devant la haine, le mépris, la guerre, Devant les injustices, les détresses, Au milieu de notre indifférence, Ô Jésus, rappelle-nous ta Parole."	FAIS-NOUS SEMER TON ÉVANGILE, FAIS DE NOUS DES ARTISANS D’UNITÉ. FAIS DE NOUS DES TÉMOINS DE TON PARDON, À L’IMAGE DE TON AMOUR.		3. Tu as versé ton sang sur une croix, Pour tous les hommes de toutes les races, Apprends-nous à nous réconcilier, Car nous sommes tous enfants d’un même Père.				Ô Jésus, rappelle nous la Parole.
A tes pieds, ô divin roi	A tes pieds, Ô divin Roi			A tes pieds ô divin roi, nous apportons nos présents (x2) Car tous nos biens sont à toi, à toi seul et en tout temps, Voici, voici nos présents, bénis-les ô Jésus (x2)	Tu es béni ô Seigneur, toi le roi de l’univers (x2) Nous venons t’offrir ce pain, nous venons t’offrir ce vin, Voici, voici nos présents, bénis-les ô Jésus (x2)	Tu es béni ô Seigneur, toi le roi de l’univers (x2) Nous venons t’offrir nos cœurs, nous venons t’offrir nos vies, Voici, voici nos présents, bénis-les ô Jésus (x2)			
À toi la gloire, ô Ressuscité !	À toi la gloire	1. À toi la gloire, ô Ressuscité, À toi la victoire pour l'éternité ! Brillant de lumière, l'ange est descendu ; il roule la pierre du tombeau vaincu.	R/ À toi la gloire, ô Ressuscité, À toi la victoire pour l'éternité !		2. Vois-Le paraître; c’est Lui, c’est Jésus, Ton Sauveur, ton Maître! Oh! Ne doute plus! Sois dans l’allégresse, peuple du Seigneur, Et redis sans cesse, que Christ est vainqueur.	3. Craindrais-je encore? Il vit à jamais, Celui que j’adore, le Prince de paix; Il est ma victoire, mon puissant soutien, Ma vie et ma gloire: Non je ne crains rien.			
Acclamation Gloire à toi, Seigneur, gloire à toi. Robert	Gloire à toi, Seigneur			Gloire à toi, Seigneur, gloire à toi					
Acclamation Gloire au Christ, Parole éternelle A7	Gloire au Christ, Parole éternelle du Dieu vivant			2nd dimanche de Carême Gloire au Christ, Parole éternelle du Dieu vivant. Gloire à toi, Seigneur	3ème dimanche de Carême Gloire au Christ, Sagesse éternelle du Dieu vivant. Gloire à toi, Seigneur				
Acclamation Gloire au Christ, Parole éternelle du Dieu vivant. Gloire à toi, Seigneur. Robert	Gloire au Christ, Parole éternelle du Dieu vivant			Gloire au Christ, Parole éternelle du Dieu vivant. Gloire à toi, Seigneur					
Acclamation Gloire au Christ, Sagesse éternelle du Dieu vivant. Gloire à toi, Seigneur. Robert	Gloire au Christ, Sagesse éternelle du Dieu vivant			Gloire au Christ, Sagesse éternelle du Dieu vivant. Gloire à toi, Seigneur					
Acclamation Gloire et louange à toi, Seigneur Jésus ! Deiss et Lécot	Gloire et louange à toi, Seigneur Jésus			Gloire et louange à toi, Seigneur Jésus					
"Acclamation Messe ""En famille, en Église"" Ta Parole, Seigneur, est lumière, gloire et louange à toi !"	Messe En famille, en Église			Ta Parole, Seigneur, est lumière, Gloire et louange à toi. Ta Parole, Seigneur nous libère, Gloire et louange à toi. Ta Parole aujourd’hui nous fait vivre, Gloire et louange à toi.					
Acclamation Parole éternelle du Père - Carême et Jeudi Saint	Parole éternelle du Père			Carême : Parole éternelle du Père, Gloire à Toi, Jésus Christ ! Parole éternelle du Père, Gloire à Toi notre vie !  Jeudi Saint : Agneau de la Pâque Nouvelle, gloire à Toi, Jésus Christ ! Agneau de la Pâque Nouvelle, gloire à Toi notre vie !					
Acclamation Ta Parole, Seigneur, est vérité, et ta loi, délivrance. Robert	Ta Parole, Seigneur, est vérité, et ta loi, délivrance			Ta Parole, Seigneur, est vérité, et ta loi, délivrance					
Acclamez votre Dieu	Acclamez votre Dieu		R. Acclamez votre Dieu sur toute la terre, Célébrez-le par vos chants de joie ! Acclamez votre Dieu, Il est la lumière, Éternel est son amour !	1. Chantez au Seigneur vos hymnes de fête, Proclamez-le devant les nations. Louez le Seigneur, louez votre Roi, Il demeure éternellement.	2. Venez l’adorer, nations de la terre ! Ne craignez pas, vous serez bénis. Vous êtes son peuple, il est votre Dieu, En ses mains remettez vos vies.	3. Offrez au Seigneur votre action de grâce, De la détresse, il vous a tirés. Du lieu de la mort, du fond des enfers, Par son Fils il vous a sauvés.	4. Venez au banquet, buvez à la source, Dieu vous invite, écoutez sa voix ! Venez sans argent, approchez de lui, Écoutez, alors vous vivrez.  5. Bénissez sans fin le Dieu qui nous sauve, Il a rendu nos âmes à la vie. Louez le Seigneur, nous sommes à lui, Qu’il est grand, son amour pour nous !		
Adeus de Fatima (Ó Virgem do Rosário)	Adeus de Fatima	1. Ó Virgem do Rosário, Da Fátima Senhora: De Portugal Rainha, Dos homens protectora. Ó Virgem do Rosário, Da Fátima Senhora, Do vosso Santuário forçoso é ir-me embora.	R/ Uma prece final Ao deixar-vos, Mãe de Deus: Viva sempre em minha alma este grito imortal: Ó Fátima, Adeus. Virgem Mãe, Adeus!		2. De vós me aparto, ó Virgem, Eis o grito de dor, Que solta ao despedir-se O pobre pecador, De vós me aparto, ó Virgem Eis o grito de dor, Acolhe, Mãe bondosa, Este último clamor.	3. De vós me aparto, ó Virgem, Deste local bendito, Onde a saúde e a paz Sois do enfermo e aflito. De vós me aparto, ó Virgem, Deste local bendito Onde encontra perdão O coração contrito.	4. De vós me aparto, ó Virgem, O pranto aos olhos vem, Mas sente-se feliz Quem vossa bênção tem. De vós me aparto, ó Virgem, O pranto aos olhos vem; Adeus, repito e choro, Adeus, saudosa Mãe.		
Adorez-le, bénissez-le	Adorez-le		R/ Adorez-le, bénissez-le ! Que la louange de vos chants le glorifie ! Adorez-le, bénissez-le ! Que de vos cœurs jaillisse le feu de l'Esprit !	1. Aujourd'hui, approchez-vous de lui, présentez-lui l'offrande de vos vies !	2. D'un seul cœur, louez votre Seigneur, que son amour transforme votre vie.				
Agneau de Dieu de Mozart	Agneau de Dieu (Mozart)			1. & 2. Agneau de Dieu qui enlèves Le péché du monde Prends pitié de nous, Seigneur (bis)	3. Agneau de Dieu qui enlèves Le péché du monde Donne-nous la paix, Seigneur (bis)				
Agneau de Dieu qui prends nos péchés	Agneau de Dieu qui prends nos péchés			1. Agneau de Dieu qui prends nos péchés, Agneau de Dieu qui prends nos péchés : Tu donnes joie au monde. JOIE. TU DONNESZ JOIE AU MONDE.	2. Agneau de Dieu qui prends nos péchés, Agneau de Dieu qui prends nos péchés : Tu donnes vie au monde. VIE. TU DONNES VIE AU MONDE.	3. Agneau de Dieu qui prends nos péchés, Agneau de Dieu qui prends nos péchés : Tu donnes pais au monde. PAIX. TU DONNES PAIX AU MONDE.			
Aimer c'est tout donner									
Alleluia - Schutz	Alléluia (Schütz)			Alléluia (x8)					
Alléluia ! Magnificat ! de la communauté du Chemin Neuf	Alléluia ! Magnificat !			Alléluia (x7)					2 premiers Alléluia
Alléluia (J. Berthier)	Alléluia 7 (Berthier)			Alléluia (x6)					
Alléluia de Taizé	Alléluia de Taizé			Alléluia, allélu, alléluia, Alléluia, alléluia ! Alléluia, allélu, alléluia, Alléluia, alléluia !					2nde fois de : Alléluia, allélu, alléluia, Alléluia, alléluia !
Alléluia dit « du Congo »	Alléluia dit « du Congo »			Alléluia Alléluia, Alléluia Alléluia, Alléluia Alléluia, A Alléluia					
Alléluia Louange et gloire	Alléluia Louange et gloire			Alleluia, Alleluia, Alleluia, Alleluia, Alleluia, Alleluia, Alleluia, Amen Amen, Alleluia, Amen					
Alléluia, lumière des nations	Alléluia, lumière des nations			Alleluia, Lumière des nations, Alleluia, Alleluia !  Alleluia, Jésus, nous t'acclamons, Alleluia, Alleluia !					
Alléluia, proclamez que le Seigneur est bon	Alléluia, proclamez que le Seigneur est bon			Alléluia (x6)					
Alléluia, roi de la paix	Alléluia, roi de la paix			Alleluia ! Alleluia ! Alleluia ! Alleluia !  Alleluia ! Alleluia ! Alleluia ! Alleluia !					
Allez porter ma joie (au monde)	Allez porter ma joie		R/ Allez porter ma joie au monde Par toute la planète Porter ma joie au monde Porter ma fête (bis)	1. Vers les hommes sans lumière Allez porter la paix Et cette amitié qui éclaire Portez l'amour qui ne finit jamais	2. Aux travaux de cette terre Allez pour la moisson Il y a tant de travail à faire Pour moissonner à tous les horizons	3. Pour le royaume à construire Allez porter vos vies Portez vos pierres et vos rires Au monde neuf qui doucement grandit	4. Aux enfants de la souffrance Allez tendre vos mains Offrir une seconde chance Pour inventer ensemble un lendemain		
"Anamnèse ""Christ est venu"" C99"	Christ est venu			Christ est venu, Christ est né. Christ a souffert, Christ est mort. Christ est ressuscité, Christ est vivant. Christ reviendra, Christ est là, Christ reviendra, Christ est là.					
Anamnèse Amazing grace	Anamnèse Amazing grace			Gloire à Toi qui étais mort, Gloire à Toi Jésus, Gloire à Toi qui es vivant, Gloire à Toi, Gloire à Toi ressuscité, Viens revivre en nous aujourd’hui et jusqu’au dernier jour.					
Anamnèse n°3 de Jacques PICHARD	Anamnèse n°3 de Jacques PICHARD			Sauveur du monde, sauve-nous, par Ta croix et Ta résurrection, Tu nous as libérés					
Anamnèse n°3 de Marie VALLIN	Anamnèse n°3 de Marie VALLIN			Sauveur du monde, sauve-nous, par Ta croix et Ta résurrection, Tu nous as libérés					
